title;cat;ext_id;url;publisher;scope;last_scan
Astrophysics;astro-ph;arxiv.astro-ph;http://arxiv.org/list/astro-ph/recent;arxiv;;
Physics - Disordered Systems and Neural Networks;cond-mat.dis-nn;arxiv.cond-mat.dis-nn;http://arxiv.org/list/cond-mat.dis-nn/recent;arxiv;;
Physics - Mesoscopic Systems and Quantum Hall Effect;cond-mat.mes-hall;arxiv.cond-mat.mes-hall;http://arxiv.org/list/cond-mat.mes-hall/recent;arxiv;;
Physics - Materials Science;cond-mat.mtrl-sci;arxiv.cond-mat.mtrl-sci;http://arxiv.org/list/cond-mat.mtrl-sci/recent;arxiv;;
Physics - Other;cond-mat.other;arxiv.cond-mat.other;http://arxiv.org/list/cond-mat.other/recent;arxiv;;
Physics - Soft Condensed Matter;cond-mat.soft;arxiv.cond-mat.soft;http://arxiv.org/list/cond-mat.soft/recent;arxiv;;
Physics - Statistical Mechanics;cond-mat.stat-mech;arxiv.cond-mat.stat-mech;http://arxiv.org/list/cond-mat.stat-mech/recent;arxiv;;
Physics - Strongly Correlated Electrons;cond-mat.str-el;arxiv.cond-mat.str-el;http://arxiv.org/list/cond-mat.str-el/recent;arxiv;;
Physics - Superconductivity;cond-mat.supr-con;arxiv.cond-mat.supr-con;http://arxiv.org/list/cond-mat.supr-con/recent;arxiv;;
General Relativity and Quantum Cosmology;gr-qc;arxiv.gr-qc;http://arxiv.org/list/gr-qc/recent;arxiv;;
High Energy Physics - Experiment;hep-ex;arxiv.hep-ex;http://arxiv.org/list/hep-ex/recent;arxiv;;
High Energy Physics - Lattice;hep-lat;arxiv.hep-lat;http://arxiv.org/list/hep-lat/recent;arxiv;;
High Energy Physics - Phenomenology;hep-ph;arxiv.hep-ph;http://arxiv.org/list/hep-ph/recent;arxiv;;
High Energy Physics - Theory;hep-th;arxiv.hep-th;http://arxiv.org/list/hep-th/recent;arxiv;;
Mathematical Physics;math-ph;arxiv.math-ph;http://arxiv.org/list/math-ph/recent;arxiv;;
Nuclear Experiment;nucl-ex;arxiv.nucl-ex;http://arxiv.org/list/nucl-ex/recent;arxiv;;
Nuclear Theory;nucl-th;arxiv.nucl-th;http://arxiv.org/list/nucl-th/recent;arxiv;;
Physics - Accelerator Physics;physics.acc-ph;arxiv.physics.acc-ph;http://arxiv.org/list/physics.acc-ph/recent;arxiv;;
Physics - Atmospheric and Oceanic Physics;physics.ao-ph;arxiv.physics.ao-ph;http://arxiv.org/list/physics.ao-ph/recent;arxiv;;
